brand,display,graphic,hdd,link,name,price,processor,ram
lenovo, 14' Full HD Display , Intel HD Graphics ,1024,http://www.linnonlinestore.com/lenovo-thinkpad-e480-i5/,lenovo thinkpad e480 (i5),"1,105,000 ", 8th Generation Intel Core i5, 8
,,,,,,,,
acer, 15.6” FHD Acer Comfy View LED LCD ,"  Intel HD Graphics , Windows 10 License ",256.0,http://www.linnonlinestore.com/acer-aspire-swift-5-i5-7th-gen-laptop/?setCurrencyId=2,acer aspire swift 5( i5) 7th gen laptop ,1505175.0, 7th Generation Intel Core i5,8
,,,,,,,,
acer, 15.6” FHD Acer Comfy View LED LCD ,"  Intel HD Graphics , Windows 10 License ",256.0,http://www.linnonlinestore.com/acer-aspire-swift-5-i5-7th-gen-laptop/?setCurrencyId=1,acer aspire swift 5( i5) 7th gen laptop ,"1,410,000 ", 7th Generation Intel Core i5,8
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-es1-432-celeron-laptop/,acer es1 -432 (celeron) laptop,461159,Intel Celeron,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-es1-432-pentium-laptop/,acer aspire es1-432 (pentium) laptop,"509,000",3th Generation Intel Pentium,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-3a-a314-33-pentium-laptop/?setCurrencyId=2,acer aspire 3a a314-33  (pentium) laptop,543357.5,3th Generation Intel Pentium,4
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-aspire-3a-a314-33-pentium-laptop/?setCurrencyId=1,acer aspire 3a a314-33  (pentium) laptop,"509,000",3th Generation Intel Pentium,4
,,,,,,,,
lenovo, 14' Full HD Display , Intel HD Graphics ,1024,http://www.linnonlinestore.com/lenovo-thinkpad-e480-i5/?setCurrencyId=1,lenovo thinkpad e480 (i5),"1,105,000 ", 8th Generation Intel Core i5, 8
,,,,,,,,
lenovo, 14' Full HD Display , Intel HD Graphics ,1024,http://www.linnonlinestore.com/lenovo-thinkpad-e480-i5/?setCurrencyId=2,lenovo thinkpad e480 (i5),1179587.5, 8th Generation Intel Core i5, 8
,,,,,,,,
acer,14'' HD Acer CineCrystal LED Display,Intel HD Graphic,500.0,http://www.linnonlinestore.com/acer-es1-432-celeron-laptop/?setCurrencyId=2,acer es1 -432 (celeron) laptop,461159,Intel Celeron,4
,,,,,,,,
